municipality,urban_file,year,population,lpcd_mean,lpcd_lower90,lpcd_upper90,annual_m3_mean,annual_m3_lower90,annual_m3_upper90,mean_monthly_m3,monthly_m3_lower90,monthly_m3_upper90,flag,n_overlap_years,cv_ratio
Dona Remedios Trinidad,Urban_1,2017,25060.2,92.48679452317177,92.48679452317177,92.48679452317177,845974.21236,845974.21236,845974.21236,70497.85103,70497.85103,70497.85103,observed,,
Dona Remedios Trinidad,Urban_1,2018,26258.8,95.2359452079835,95.2359452079835,95.2359452079835,912785.29788,912785.29788,912785.29788,76065.44149,76065.44149,76065.44149,observed,,
Dona Remedios Trinidad,Urban_1,2019,27457.4,97.98509588801622,97.98509588801622,97.98509588801622,982001.82972,982001.82972,982001.82972,81833.48581,81833.48581,81833.48581,observed,,
Dona Remedios Trinidad,Urban_1,2020,28656.0,100.73424657534248,100.73424657534248,100.73424657534248,1053623.808,1053623.808,1053623.808,87801.984,87801.984,87801.984,observed,,
Dona Remedios Trinidad,Urban_1,2021,29008.0,104.2267397260274,104.2267397260274,104.2267397260274,1103544.38208,1103544.38208,1103544.38208,91962.03184,91962.03184,91962.03184,observed,,
Dona Remedios Trinidad,Urban_1,2022,29360.0,107.71890410958903,107.71890410958903,107.71890410958903,1154358.864,1154358.864,1154358.864,96196.572,96196.572,96196.572,observed,,
Dona Remedios Trinidad,Urban_1,2023,29712.0,111.2113973045345,111.2113973045345,111.2113973045345,1206074.2584000002,1206074.2584000002,1206074.2584000002,100506.18820000002,100506.18820000002,100506.18820000002,observed,,
Dona Remedios Trinidad,Urban_1,2024,30064.0,114.70356164383564,114.70356164383564,114.70356164383564,1258683.4752,1258683.4752,1258683.4752,104890.2896,104890.2896,104890.2896,observed,,
Norzagaray,Urban_2,2000,76978.0,33.283949601592354,26.264385376720995,44.491484153427784,935178.1334374524,737949.6479981685,1250075.895514336,77931.5111197877,61495.803999847376,104172.99129286133,backcast_high,15.0,0.1769920005050734
Norzagaray,Urban_2,2001,79589.7,44.14262751154369,34.832974883748875,59.00654928063441,1282353.9455122603,1011906.2977033642,1714154.447677531,106862.82879268836,84325.52480861369,142846.2039731276,backcast_high,15.0,0.1769920005050734
Norzagaray,Urban_2,2002,82201.4,42.53137947329864,33.56153805246822,56.85275391022586,1276090.71187229,1006963.9761341488,1705782.2273257545,106340.89265602415,83913.66467784574,142148.51894381287,backcast_high,15.0,0.1769920005050734
Norzagaray,Urban_2,2003,84813.1,41.04983250742279,32.39244841823763,54.872333192617546,1270770.6955438843,1002765.9479334028,1698670.8290390586,105897.55796199036,83563.82899445023,141555.90241992156,backcast_high,15.0,0.1769920005050734
Norzagaray,Urban_2,2004,87424.8,39.68272536831225,31.31366332263864,53.04488704082838,1266277.830004563,999220.6249358918,1692665.1038069597,105523.15250038025,83268.38541132431,141055.42531724664,backcast_high,15.0,0.1769920005050734
Norzagaray,Urban_2,2005,90036.5,38.4176666237488,30.315404678784194,51.35385151888397,1262532.167953743,996264.9206768939,1687658.1840821987,105211.01399614524,83022.0767230745,140638.18200684988,backcast_high,15.0,0.1769920005050734
Norzagaray,Urban_2,2006,92648.2,37.24347038216058,29.3888456926627,49.78427416700812,1259447.2798210788,993830.6335285775,1683534.5373061276,104953.93998508989,82819.2194607148,140294.54477551064,backcast_high,15.0,0.1769920005050734
Norzagaray,Urban_2,2007,95259.9,36.15068674945628,28.526529446956516,48.323523076480605,1256954.443709853,991863.5349994083,1680202.3012083303,104746.20364248776,82655.29458328402,140016.85843402753,backcast_high,15.0,0.1769920005050734
Norzagaray,Urban_2,2008,97871.6,35.13095367565332,27.72185744281228,46.9604204868871,1254987.765703156,990311.6281584802,1677573.3937494126,104582.31380859633,82525.96901320668,139797.78281245104,backcast_high,15.0,0.1769920005050734
Norzagaray,Urban_2,2009,100483.3,34.246825369510375,27.024191245351897,45.77858416658231,1256050.4200930244,991150.1693998849,1678993.870330868,104670.86834108537,82595.84744999041,139916.15586090568,backcast_high,15.0,0.1769920005050734
Norzagaray,Urban_2,2010,103095.0,62.89769975424981,62.89769975424981,62.89769975424981,2366820.0,2366820.0,2366820.0,197235.0,197235.0,197235.0,observed,15.0,0.1769920005050734
Norzagaray,Urban_2,2011,104745.6,61.724500723788864,61.724500723788864,61.724500723788864,2359860.0,2359860.0,2359860.0,196655.0,196655.0,196655.0,observed,15.0,0.1769920005050734
Norzagaray,Urban_2,2012,106396.2,63.56896101938752,63.56896101938752,63.56896101938752,2468676.0,2468676.0,2468676.0,205723.0,205723.0,205723.0,observed,15.0,0.1769920005050734
Norzagaray,Urban_2,2013,108046.8,65.53355037778911,65.53355037778911,65.53355037778911,2584452.0,2584452.0,2584452.0,215371.0,215371.0,215371.0,observed,15.0,0.1769920005050734
Norzagaray,Urban_2,2014,109697.4,72.71575048381537,72.71575048381537,72.71575048381537,2911506.0,2911506.0,2911506.0,242625.5,242625.5,242625.5,observed,15.0,0.1769920005050734
