;,,,,,,,,,,,,
;,,,,,,,,,,,,
;Year,Month, Angat,Bulacan,Bustos,Plaridel,San Rafael,City of Malolos,Hagonoy, Baliwag,Calumpit,Guiguinto,Pandi
2012,3,137682,216858,208514,352730,159571,1055550,611955,525585,452990,,46868
2012,4,137682,216858,208514,352730,159571,1055550,611955,525585,452990,,46868
2012,5,137682,216858,208514,352730,159571,1055550,611955,525585,452990,,46868
2012,6,137682,216858,208514,352730,159571,1055550,611955,525585,452990,,46868
2012,7,137682,215081,214157,382357,151295,1055550,611955,519549,486605,,60315
2012,8,137682,215081,214157,382357,151295,1055550,611955,519549,486605,,60315
2012,9,137682,215081,214157,382357,151295,1055550,611955,519549,486605,,60315
2012,10,137682,215081,214157,382357,151295,1055550,611955,519549,486605,,60315
2012,11,137682,215081,214157,382357,151295,1055550,611955,519549,486605,,60315
2012,12,137682,215081,214157,382357,151295,1055550,611955,519549,486605,,60315
2013,1,137682,214235,214157,382357,178695,1055550,611955,519549,486605,,59029
2013,2,137682,214235,214157,382357,178695,1055550,611955,519549,486605,,59029
2013,3,137682,214235,214157,382357,178695,1055550,611955,519549,486605,,59029
2013,4,137682,214235,214157,382357,178695,1055550,611955,519549,486605,,59029
2013,5,137682,214235,214157,382357,178695,1055550,611955,519549,486605,,59029
2013,6,137682,214235,214157,382357,178695,1055550,611955,519549,486605,,59029
2013,7,137682,229198,214157,382357,164040,1055550,611955,519549,486605,,63315
2013,8,137682,229198,214157,382357,164040,1055550,611955,519549,486605,,63315
2013,9,137682,229198,214157,382357,164040,1055550,611955,519549,486605,,63315
2013,10,137682,229198,214157,382357,164040,1055550,611955,519549,486605,,63315
2013,11,137682,229198,214157,382357,164040,1055550,611955,519549,486605,,63315
2013,12,137682,229198,214157,382357,164040,1055550,611955,519549,486605,,63315
2014,1,179936,226505,257010,371656,193876,1198756,615745,644024,493579,,70825
2014,2,179936,226505,257010,371656,193876,1198756,615745,644024,493579,,70825
2014,3,179936,226505,257010,371656,193876,1198756,615745,644024,493579,,70825
2014,4,179936,226505,257010,371656,193876,1198756,615745,644024,493579,,70825
2014,5,179936,226505,257010,371656,193876,1198756,615745,644024,493579,,70825
2014,6,179936,226505,257010,371656,193876,1198756,615745,644024,493579,,70825
2014,7,160727,228678,243270,446487,198946,1197986,531929,555461,486263,,72437
2014,8,160727,228678,243270,446487,198946,1197986,531929,555461,486263,,72437
2014,9,160727,228678,243270,446487,198946,1197986,531929,555461,486263,,72437
2014,10,160727,228678,243270,446487,198946,1197986,531929,555461,486263,,72437
2014,11,160727,228678,243270,446487,198946,1197986,531929,555461,486263,,72437
2014,12,160727,228678,243270,446487,198946,1197986,531929,555461,486263,,72437
2015,1,192333,234167,270250,437274,209867,1159060,625002,610739,495868,,80822
2015,2,192333,234167,270250,437274,209867,1159060,625002,610739,495868,,80822
2015,3,192333,234167,270250,437274,209867,1159060,625002,610739,495868,,80822
2015,4,192333,234167,270250,437274,209867,1159060,625002,610739,495868,,80822
2015,5,192333,234167,270250,437274,209867,1159060,625002,610739,495868,,80822
2015,6,192333,234167,270250,437274,209867,1159060,625002,610739,495868,,80822
2015,7,174208,232748,260800,411981,226572,1289135,566036,604421,521892,,88576
2015,8,174208,232748,260800,411981,226572,1289135,566036,604421,521892,,88576
2015,9,174208,232748,260800,411981,226572,1289135,566036,604421,521892,,88576
2015,10,174208,232748,260800,411981,226572,1289135,566036,604421,521892,,88576
2015,11,174208,232748,260800,411981,226572,1289135,566036,604421,521892,,88576
2015,12,174208,232748,260800,411981,226572,1289135,566036,604421,521892,,88576
